Bitcoin	BTC
Raiden Network Token	RDN
MELD	MELD
CATCOIN	CATS
EthicHub	ETHIX
Credits	CS
Trinity Network Credit	TNC
PooCoin	POOCOIN
Pendulum	PEN
Bottos	BTO
Pearl	PEARL
Etherparty	FUEL
Omni	OMNI
Ripio Credit Network	RCN
Kambria	KAT
NoLimitCoin	NLC
BlackCoin	BLK
LikeCoin	LIKE
Cindicator	CND
Anyswap	ANY
Wagerr	WGR
Bounty0x	BNTY
Torex	TOR
Aion	AION
ReddCoin	RDD
Skycoin	SKY
Ink	INK
MediShares	MDS
Tokenomy	TEN
SIRIN LABS Token	SRN
OST	OST
TurtleCoin	TRTL
MONNOS	MNS
Okcash	OK
Origin Ether	OETH
HedgeTrade	HEDG
Bibox Token	BIX
TERA	TERA
Achain	ACT
Substratum	SUB
Bean Cash	BITB
Crown	CRW
Pundi X (Old)	NPXS
Merge	MERGE
MaidSafeCoin	MAID
DigitalNote	XDN
VIBE	VIBE
Bankera V2	BNK
Bread	BRD
Nxt	NXT
Bela	BELA
Startcoin	START
Clams	CLAM
Viacoin	VIA
Emercoin	EMC
Blocknet	BLOCK
SIBCoin	SIB
SaluS	SLS
AllSafe	ASAFE
Wings	WINGS
Swarm City	SWT
Lunyr	LUN
Monolith	TKN
Aidos Kuneen	ADK
Patientory	PTOY
Veritaseum	VERI
GXChain	GXC
Polybius	PLBT
Agrello	DLT
Cobinhood	COB
Everex	EVX
Enigma	ENG
Paypex	PAYX
QASH	QASH
Neumark	NEU
DMarket	DMT
Global Social Chain	GSC
Seele	N	SEELE
KanadeCoin	KNDC
Karatgold Coin	KBC
PumaPay	PMA
CoinLoan	CLT
Frax Price Index	FPI
